#{"t_start": 1762030836.026305, "env_id": "None"}
r,l,t
25.1,414,0.71557
42.5,414,0.999786
34.7,414,1.282145
23.2,414,1.537145
36.0,414,1.802215
39.6,414,2.063192
21.9,414,2.313156
39.8,340,2.549802
26.7,414,2.819998
42.0,340,3.058813
25.2,340,3.288601
43.6,414,3.553764
42.0,340,3.807987
39.4,414,4.088194
35.5,414,4.349261
35.1,340,4.598032
42.0,340,4.862089
38.9,414,5.123706
35.2,340,5.349062
23.5,414,5.61391
41.6,340,9.212236
20.8,340,9.473242
24.8,414,9.751302
33.5,414,10.017676
28.221429,441,10.291623
32.9,414,10.548288
17.1,340,10.785489
38.4,340,11.02554
31.6,414,11.272446
21.5,340,11.501067
41.3,340,11.743941
40.2,340,12.004932
36.9,340,12.245891
42.0,340,12.488608
22.5,340,12.731516
42.0,340,12.972288
26.2,414,13.261053
38.5,340,13.519062
41.5,414,13.784976
29.6,414,14.056413
39.4,340,14.296234
41.4,414,14.563552
21.3,340,18.310465
33.9,414,18.593633
41.8,340,18.822488
41.6,414,19.088913
13.5,414,19.377403
22.2,414,19.639842
38.8,414,19.88795
25.842857,410,20.165285
30.7,340,20.427927
39.8,340,20.670021
34.6,340,20.89544
42.0,340,21.135377
26.2,414,21.401617
41.7,340,21.633121
21.278571,427,21.888275
25.7,414,22.139284
26.4,414,22.404373
34.5,340,22.656763
28.0,340,22.915172
29.4,340,23.159449
34.6,414,23.428332
39.8,414,27.081449
30.4,414,27.389022
42.4,414,27.681339
8.0,414,27.968788
37.1,340,28.205118
38.1,340,28.450365
41.6,414,28.741697
42.0,340,28.999186
40.9,414,29.290506
11.0,340,29.552518
36.8,340,29.808053
24.2,414,30.081066
34.1,340,30.321522
42.0,340,30.566099
42.8,414,30.830139
43.2,414,31.097254
33.8,414,31.358573
28.9,340,31.586532
40.5,340,31.831699
25.8,414,32.094664
28.5,414,32.360483
25.592857,423,32.64611
14.5,414,36.376779
18.0,340,36.645393
35.421429,425,36.941492
31.0,340,37.204326
33.7,340,37.454332
42.0,340,37.697942
34.3,414,37.986858
19.7,340,38.253092
33.4,340,38.502303
42.0,340,38.729011
41.3,340,38.957802
35.4,340,39.200949
35.6,340,39.445224
41.6,340,39.687675
25.4,414,39.952099
40.3,340,40.204599
27.221429,423,40.499267
40.1,414,40.769448
32.6,340,40.997175
39.8,340,41.221558
27.9,340,41.459866
19.6,340,41.723937
33.0,414,45.57666
42.0,340,45.840364
40.7,340,46.093578
41.4,414,46.387803
27.8,414,46.673729
25.8,414,46.96199
42.0,340,47.229989
2.05,1053,47.694972
44.6,414,47.962874
37.9,414,48.224683
18.2,340,48.454283
44.2,414,48.72062
37.9,340,48.968127
43.442857,410,49.23762
29.4,340,49.480936
40.6,414,49.728561
35.2,414,49.973118
21.7,414,50.237392
40.8,340,50.498973
32.7,340,54.093895
44.0,414,54.38821
35.5,340,54.637521
31.6,414,54.928828
43.5,414,55.197493
35.6,340,55.439714
22.1,340,55.684432
23.0,414,55.953186
35.2,340,56.221478
23.4,414,56.48862
15.5,414,56.764425
40.1,340,57.016934
29.9,340,57.242985
35.142857,424,57.516897
24.2,414,57.778593
26.714286,414,58.026779
40.5,340,58.268872
42.0,340,58.512808
37.2,340,58.741126
33.5,340,58.97254
23.7,414,59.223072
29.1,340,59.467475
37.8,414,63.23323
41.2,414,63.538133
42.0,340,63.802241
32.7,414,64.102998
38.7,340,64.368855
38.8,340,64.640302
30.5,340,64.892407
13.0,414,65.167897
29.3,414,65.456867
40.3,340,65.717748
43.292857,411,65.98216
20.9,340,66.22587
26.5,414,66.495497
16.0,340,66.739748
21.8,414,67.007304
25.6,340,67.255351
42.0,340,67.498716
34.8,340,67.7448
27.6,340,68.014064
13.621429,1885,72.034705
27.8,340,72.289109
45.471429,416,72.562639
32.1,414,72.831741
43.8,414,73.121858
26.7,414,73.415114
12.3,414,73.708368
20.3,340,73.955277
43.2,414,74.206981
41.8,340,74.43189
30.1,340,74.659414
33.1,340,74.902347
32.3,414,75.167615
28.7,414,75.437429
25.0,340,75.678768
32.2,340,75.905807
42.9,414,76.15401
27.5,414,76.423277
42.0,340,76.663647
25.4,414,76.930742
25.2,414,80.579066
22.9,414,80.863146
31.0,340,81.113134
24.4,414,81.409213
44.9,414,81.699718
14.9,340,81.963331
24.8,340,82.236979
43.942857,410,82.532934
21.8,414,82.806574
22.2,340,83.056436
31.8,414,83.347871
23.8,414,83.635897
34.0,414,83.925186
14.7,414,84.188264
24.2,414,84.437124
22.3,414,84.686407
40.1,340,84.910876
40.4,340,85.138575
24.9,340,85.379344
1.8,414,85.643026
21.3,414,85.892005
32.0,340,89.507996
8.4,340,89.766925
21.3,340,89.998632
42.0,340,90.248292
29.6,414,90.52276
21.3,414,90.790257
40.2,340,91.047178
39.2,414,91.337173
34.7,340,91.60352
26.271429,426,91.899991
34.7,414,92.165772
19.6,414,92.411178
24.921429,407,92.657539
40.4,340,92.902855
33.8,340,93.147657
40.2,414,93.399561
30.521429,423,93.650382
24.1,414,93.91339
33.8,414,94.173609
22.1,414,94.42027
16.0,340,94.660314
35.2,340,98.399076
33.0,414,98.711513
42.0,340,98.96851
29.9,340,99.216043
19.8,414,99.507481
42.0,340,99.749784
31.0,414,100.024281
40.6,414,100.290145
25.9,340,100.537419
33.3,414,100.807381
24.9,414,101.058328
41.8,340,101.303185
33.2,414,101.595405
26.3,340,101.860754
22.6,340,102.134949
30.9,340,102.40256
42.4,414,102.697997
42.0,340,102.935364
39.8,340,103.18205
25.5,340,103.427176
41.1,414,103.694312
32.2,414,103.983434
42.0,340,107.705409
33.642857,424,108.016039
31.114286,422,108.292977
42.0,340,108.539185
28.4,340,108.795184
28.871429,416,109.046694
36.3,340,109.28825
26.9,340,109.58344
24.9,414,109.844596
23.1,340,110.109359
41.2,340,110.351086
42.1,414,110.602142
30.9,414,110.849919
24.5,340,111.094437
42.0,340,111.359062
24.8,340,111.625702
42.0,340,111.890292
39.6,340,112.155074
39.9,340,112.428419
26.8,414,112.725217
26.2,414,113.000951
26.3,340,113.231445
