#{"t_start": 1762026108.564606, "env_id": "None"}
r,l,t
31.6,414,0.719286
34.414286,423,0.973853
32.8,340,1.224486
36.064286,426,1.504923
23.5,340,1.73486
40.6,340,1.958676
42.0,340,2.194419
38.2,340,2.440609
-21.95,835,2.81369
22.7,340,3.040779
43.2,414,3.308149
55.478571,2700,4.204543
33.5,340,4.443953
42.0,340,4.670984
36.4,414,7.71246
24.4,414,7.98324
31.9,340,8.249747
42.0,340,8.497457
31.4,414,8.773989
38.7,340,9.0044
39.8,414,9.254679
42.0,340,9.482532
33.1,340,9.713861
39.8,340,9.937342
41.8,340,10.179218
42.0,340,10.411889
33.0,340,10.639119
29.9,414,10.904816
42.0,340,11.141845
42.0,340,11.383279
31.7,414,11.642483
42.0,340,11.893243
42.0,340,12.15022
32.5,414,12.418287
25.4,414,12.671589
35.0,340,12.902369
34.414286,416,16.232692
35.0,414,16.508827
41.4,414,16.777405
42.0,340,17.020021
39.4,340,17.247385
22.8,340,17.472974
32.3,340,17.716075
25.8,414,17.971374
21.9,340,18.214229
35.3,340,18.460739
19.664286,413,18.732025
33.471429,424,18.998259
41.0,340,19.242872
35.8,340,19.472967
24.8,414,19.722063
23.3,414,19.968141
39.1,340,20.207883
41.0,414,20.471489
23.692857,425,20.738862
32.8,340,20.981587
37.7,340,21.221323
25.3,414,24.521268
37.892857,2286,25.33395
25.3,414,25.585438
20.7,340,25.82807
28.6,414,26.102923
27.9,414,26.384677
42.0,340,26.635516
40.9,414,26.895531
31.5,340,27.143128
23.2,414,27.48591
39.5,414,27.7643
32.771429,426,28.027922
27.4,340,28.258864
42.0,340,28.50504
37.6,340,28.736252
22.457143,351,28.968061
37.4,414,29.217645
21.335714,450,32.400434
31.6,414,32.658113
23.307143,424,32.924635
41.0,340,33.17679
42.1,414,33.433572
42.0,340,33.68315
26.992857,2382,34.499453
42.0,340,34.72598
40.5,340,34.951386
39.357143,416,35.202186
38.7,340,35.44938
32.178571,467,35.715956
24.5,414,35.979949
22.4,340,36.209537
33.2,340,36.435017
28.6,414,36.685887
